url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,/api/portlet/badeplass/012,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 24. juli', 'temperature': '17,0°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 09:05'}",Mindre god,2023-07-24T00:00:00,17.0,2023-07-31T09:05:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 24. juli', 'temperature': '17,4°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 08:45'}",God,2023-07-24T00:00:00,17.4,2023-07-31T08:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 24. juli', 'temperature': '18,2°C', 'temperature_reported_at': 'Sist målt: 24. juli klokken 12:05'}",God,2023-07-24T00:00:00,18.2,2023-07-24T12:05:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 11. juli', 'temperature': '16,8°C', 'temperature_reported_at': 'Sist målt: 25. juli klokken 10:45'}",God,2023-07-11T00:00:00,16.8,2023-07-25T10:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 24. juli', 'temperature': '18,2°C', 'temperature_reported_at': 'Sist målt: 31. juli klokken 10:55'}",God,2023-07-24T00:00:00,18.2,2023-07-31T10:55:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 25. juli', 'temperature': '16,7°C', 'temperature_reported_at': 'Sist målt: 25. juli klokken 11:35'}",Mindre god,2023-07-25T00:00:00,16.7,2023-07-25T11:35:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juli', 'temperature': '18,2°C', 'temperature_reported_at': 'Sist målt: 26. juli klokken 09:00'}",God,2023-07-26T00:00:00,18.2,2023-07-26T09:00:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 26. juli', 'temperature': '17,5°C', 'temperature_reported_at': 'Sist målt: 26. juli klokken 08:05'}",Mindre god,2023-07-26T00:00:00,17.5,2023-07-26T08:05:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 26. juli', 'temperature': '16,1°C', 'temperature_reported_at': 'Sist målt: 26. juli klokken 07:45'}",Mindre god,2023-07-26T00:00:00,16.1,2023-07-26T07:45:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/notabunesetsaganeset,Notabuneset/Saganeset,/api/portlet/badeplass/026,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juli', 'temperature': '17,8°C', 'temperature_reported_at': 'Sist målt: 26. juli klokken 08:50'}",God,2023-07-26T00:00:00,17.8,2023-07-26T08:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fyllingsdalen/kyrkjetangen,Kyrkjetangen,/api/portlet/badeplass/013,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 27. juli', 'temperature': '21,5°C', 'temperature_reported_at': 'Sist målt: 18. juli klokken 11:50'}",God,2023-07-27T00:00:00,21.5,2023-07-18T11:50:00
